city,id,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
Hermanus,3366880,15,ZA,1584512108,94,-34.42,19.23,291.48,1.79
Torbay,6167817,75,CA,1584512108,74,47.67,-52.73,273.15,9.3
Spornoye,578283,0,RU,1584512108,55,50.84,37.29,274.15,4
Jutaí,3663693,99,BR,1584512108,98,-5.18,-68.9,295.9,0.83
Athabasca,5887916,83,CA,1584512108,98,54.72,-113.29,259.8,0.78
Cape Town,3369157,20,ZA,1584511831,93,-33.93,18.42,294.26,3.1
La Ronge,6050066,20,CA,1584512109,69,55.1,-105.28,248.15,1
Port Alfred,964432,0,ZA,1584512109,90,-33.59,26.89,292.04,2.68
Broome,5110365,20,US,1584512109,69,42.25,-75.83,274.26,1.5
Airai,1651810,5,TL,1584512109,52,-8.93,125.41,299.8,2.95
Cockburn Town,3576994,26,TC,1584512105,75,21.46,-71.14,297.1,8.63
Bengkulu,1649150,98,ID,1584512110,83,-3.8,102.27,301.7,2.59
Pathein,1328421,0,MM,1584512110,56,16.78,94.73,302.2,5.87
Nhulunbuy,2064735,40,AU,1584512110,70,-12.23,136.77,304.15,6.7
Punta Arenas,3874787,75,CL,1584512110,62,-53.15,-70.92,286.15,2.6
Cayenne,3382160,49,GF,1584511941,94,4.93,-52.33,297.15,0.5
Atuona,4020109,99,PF,1584512105,78,-9.8,-139.03,301.2,5.72
Ferrol,3123493,0,ES,1584512111,100,43.48,-8.24,285.37,1.5
Hilo,5855927,90,US,1584512065,88,19.73,-155.09,296.48,1.5
Tres Arroyos,3833859,73,AR,1584511964,94,-38.37,-60.28,287.3,3.53
Esperance,2071860,40,AU,1584512112,29,-33.87,121.9,297.15,10.8
Am Timan,245338,77,TD,1584512112,13,11.03,20.28,300,4.54
Quelimane,1028434,40,MZ,1584512112,88,-17.88,36.89,298.15,5.1
Māngrol,1263752,0,IN,1584512112,51,21.12,70.12,299.7,2.01
Albany,5106841,20,US,1584512113,59,42.6,-73.97,277.04,3.1
Himensulan,1711697,20,PH,1584512113,43,10.6,124.28,306.15,5.7
Souillac,933995,40,MU,1584512113,70,-20.52,57.52,302.15,3.6
Yellowknife,6185377,20,CA,1584512048,76,62.46,-114.35,250.37,2.1
Castro,3466704,56,BR,1584511844,99,-24.79,-50.01,290.7,1.59
Kahului,5847411,75,US,1584512114,94,20.89,-156.47,295.15,2.6
Pevek,2122090,100,RU,1584512114,93,69.7,170.31,262.9,6.11
Tasiilaq,3424607,85,GL,1584512114,66,65.61,-37.64,262.15,2.6
São Filipe,3374210,0,CV,1584512114,76,14.9,-24.5,292.4,6.2
Norman Wells,6089245,75,CA,1584512115,92,65.28,-126.83,264.15,3.1
Vestmannaeyjar,3412093,0,IS,1584512115,71,63.44,-20.27,273.1,10.92
Nelson,2186280,0,NZ,1584511994,59,-41.28,173.28,290.37,0.45
Rikitea,4030556,45,PF,1584512115,82,-23.12,-134.97,299.9,4.75
Busselton,2075265,15,AU,1584512115,33,-33.65,115.33,294.26,9.05
Kapaa,5848280,90,US,1584511861,88,22.08,-159.32,297.15,5.1
Maniitsoq,3421982,100,GL,1584512116,65,65.42,-52.9,265.5,10.6
Dunedin,2191562,62,NZ,1584512116,66,-45.87,170.5,287.59,2.6
Jamestown,5122534,1,US,1584512116,86,42.1,-79.24,277.04,2.6
Thompson,6165406,5,CA,1584512116,63,55.74,-97.86,249.15,2.6
Flinders,6255012,0,AU,1584512117,42,-34.58,150.86,300.93,5.7
Mataura,6201424,82,NZ,1584512117,78,-46.19,168.86,287.04,0.89
Vaini,4032243,75,TO,1584512117,83,-21.2,-175.2,299.15,4.1
Nikolskoye,546105,90,RU,1584512117,86,59.7,30.79,277.15,7
Karlstad,2701680,100,SE,1584512117,93,59.38,13.5,277.59,4.1
Bredasdorp,1015776,0,ZA,1584512118,72,-34.53,20.04,293.15,3.6
Sai Buri,1606851,20,TH,1584512118,70,6.7,101.62,303.15,4.1
Ushuaia,3833367,40,AR,1584511915,58,-54.8,-68.3,285.15,1.53
Hithadhoo,1282256,0,MV,1584512118,72,-0.6,73.08,302.7,4.04
Bethel,5282297,1,US,1584512118,80,41.37,-73.41,281.15,2.03
Vanimo,2084442,73,PG,1584512119,78,-2.67,141.3,301.7,7.09
Leningradskiy,2123814,100,RU,1584512119,76,69.38,178.42,270.1,3.88
Takoradze,2294915,100,GH,1584512119,89,4.88,-1.76,299.1,2.31
Kloulklubed,7671223,75,PW,1584512119,66,7.04,134.26,304.15,4.1
Yashkul',468747,100,RU,1584512120,72,46.17,45.34,277.1,4.5
Longyearbyen,2729907,20,SJ,1584512106,75,78.22,15.64,244.15,3.1
Arraial do Cabo,3471451,0,BR,1584512120,100,-22.97,-42.03,294.15,6
Korla,1529376,85,CN,1584512120,22,41.76,86.15,282.8,2.18
Iskateley,866062,100,RU,1584512120,94,67.68,53.15,270,7.28
Saint George,5546220,40,US,1584512003,57,37.1,-113.58,284.15,3.1
Dikson,1507390,97,RU,1584512121,99,73.51,80.55,252.1,2.67
Nola,6541905,42,IT,1584512121,70,40.92,14.53,284.82,2.1
Puerto Ayora,3652764,19,EC,1584512121,84,-0.74,-90.35,298.15,0.89
Doha,290030,17,QA,1584511879,65,25.29,51.53,298.15,5.1
Dauriya,2025099,7,RU,1584512122,78,49.93,116.87,270.2,7.95
Teguise,2510573,20,ES,1584512122,72,29.06,-13.56,289.15,2.6
Moussoro,2427336,85,TD,1584512122,10,13.64,16.49,296.2,6.97
Englewood,5421250,40,US,1584512054,86,39.65,-104.99,279.82,2.32
East London,1006984,0,ZA,1584512122,69,-33.02,27.91,296.15,2.6
Tautira,4033557,75,PF,1584512123,74,-17.73,-149.15,302.15,3.46
Henties Bay,3356832,18,NA,1584512123,96,-22.12,14.28,289.82,0.89
Seoni,1256826,95,IN,1584512123,19,22.08,79.53,303.4,2.29
Zhigansk,2012530,13,RU,1584512123,88,66.77,123.37,245.5,2.08
Alyangula,2079582,75,AU,1584512123,58,-13.85,136.42,304.15,3.1
Saskylakh,2017155,37,RU,1584511925,83,71.92,114.08,249.8,7.12
Khatanga,2022572,100,RU,1584512124,86,71.97,102.5,251.1,3.22
Roald,3141667,75,NO,1584512124,68,62.58,6.13,278.15,8.7
Pacific Grove,5380437,1,US,1584512124,81,36.62,-121.92,281.48,2.1
Dāmghān,138025,33,IR,1584512124,56,36.17,54.35,288.4,4.77
Saint Paul Harbor,5866583,90,US,1584512125,82,57.79,-152.41,277.15,2.1
Oodweyne,53372,43,SO,1584512125,58,9.41,45.06,296.8,3.49
Faya,110690,40,SA,1584512125,88,18.39,42.45,290.15,6.2
Lebu,3883457,4,CL,1584512125,97,-37.62,-73.65,283.8,1.99
Sitka,5557293,1,US,1584512126,86,57.05,-135.33,277.15,2.74
Bluff,2206939,92,NZ,1584512126,78,-46.6,168.33,287.04,0.89
Lüderitz,3355672,0,NA,1584512126,87,-26.65,15.16,288.15,3.1
Brighton,2654710,75,GB,1584511829,93,50.83,-0.14,283.71,4.1
Luang Prabang,1655559,40,LA,1584512126,49,19.89,102.13,305.15,1
Quatre Cocos,1106643,40,MU,1584512127,70,-20.21,57.76,302.15,3.6
Coyhaique,3894426,3,CL,1584512127,87,-45.58,-72.07,280.15,2.1
Narsaq,3421719,79,GL,1584512127,28,60.92,-46.05,265.15,6.7
Carauari,3664659,93,BR,1584512127,98,-4.88,-66.9,295.9,0.33
Bāfq,142255,62,IR,1584512128,26,31.61,55.41,294.8,7.82
Aljezur,2271968,100,PT,1584512128,92,37.32,-8.8,285.37,9.57
Kūstī,371760,76,SD,1584512128,14,13.16,32.66,299.1,7.18
Tuktoyaktuk,6170031,40,CA,1584512128,76,69.45,-133.04,251.15,5.1
Ponta do Sol,2264557,40,PT,1584512128,63,32.67,-17.1,289.15,8.2
Alofi,4036284,100,NU,1584512129,83,-19.06,-169.92,301.15,3.1
Chui,3443061,100,UY,1584512129,83,-33.7,-53.46,293.1,6.48
Dondo,1024696,75,MZ,1584512129,78,-19.61,34.74,296.15,4.6
Avarua,4035715,100,CK,1584512129,88,-21.21,-159.78,300.15,7.2
Ancud,3899695,0,CL,1584512130,93,-41.87,-73.82,282.15,3.6
Parabel',1495586,100,RU,1584512130,88,58.7,81.48,271.9,6.76
Kambove,923058,100,CD,1584512130,98,-10.88,26.6,290.4,1.87
Broken Hill,2173911,0,AU,1584512130,18,-31.95,141.43,305.15,2.6
São Félix do Xingu,3388847,40,BR,1584512130,97,-6.64,-51.99,294.8,0.84
Strezhevoy,1490796,90,RU,1584512130,79,60.73,77.59,271.15,5
Tongchuanshi,1795196,8,CN,1584512131,12,35.08,109.09,294.8,7.49
Saint-Philippe,935215,20,RE,1584512131,74,-21.36,55.77,302.15,1.5
Mahébourg,934322,40,MU,1584512131,70,-20.41,57.7,302.15,3.6
Acaraú,3408368,43,BR,1584512131,96,-2.89,-40.12,296.6,1.45
Mar del Plata,3430863,90,AR,1584511930,100,-38,-57.56,292.59,1.5
Hobart,2163355,75,AU,1584511976,60,-42.88,147.33,294.82,3.6
Tatvan,299582,75,TR,1584512132,100,38.51,42.28,274.15,3.1
Vieux-Habitants,3578278,20,GP,1584512132,94,16.06,-61.77,294.15,0.5
Butaritari,2110227,1,KI,1584512132,76,3.07,172.79,301.9,6.58
Ostrovnoy,556268,93,RU,1584512132,93,68.05,39.51,268.6,5.36
New Norfolk,2155415,75,AU,1584512133,60,-42.78,147.06,294.82,3.6
Port Elizabeth,964420,0,ZA,1584512105,82,-33.92,25.57,292.15,10.3
Homer,5864145,90,US,1584512133,95,59.64,-151.55,274.26,1.5
Palmer,4946620,1,US,1584512032,52,42.16,-72.33,278.15,3.6
Roebourne,2062276,0,AU,1584512133,14,-20.78,117.13,314.1,3.53
Tessalit,2449893,91,ML,1584512134,24,20.2,1.01,296.6,0.81
Fortuna,5563839,90,US,1584512134,87,40.6,-124.16,281.15,7.7
Barrow,5880054,90,US,1584512134,78,71.29,-156.79,264.15,6.7
San Quintín,3984997,50,MX,1584511925,62,30.48,-115.95,288,3.24
Katsuura,2112309,20,JP,1584512135,51,35.13,140.3,292.04,3.1
Kiryat Gat,293842,75,IL,1584511981,54,31.61,34.76,287.15,7.2
Teya,1489656,100,RU,1584512135,87,60.38,92.63,271.1,7.4
Touros,3386213,40,BR,1584512135,94,-5.2,-35.46,298.15,2.1
Comodoro Rivadavia,3860443,0,AR,1584512101,52,-45.87,-67.5,291.15,6.7
Santa Luzia,3450144,75,BR,1584511948,93,-19.77,-43.85,293.15,2.6
Somerville,4951257,1,US,1584511980,60,42.39,-71.1,278.71,4.6
Isiro,215771,100,CD,1584512136,80,2.77,27.62,296,1.89
Beidao,1816751,100,CN,1584512137,15,34.57,105.89,290.3,3.31
Bereslavka,577403,95,RU,1584512137,32,48.63,44.04,278.15,3
Bambous Virieux,1106677,40,MU,1584512137,70,-20.34,57.76,302.15,3.6
Wagar,364027,33,SD,1584512137,45,16.15,36.2,297.7,4.61
Barra de Tecoanapa,3516171,0,MX,1584512137,92,16.52,-98.75,296.2,1.06
Rudnyy,1519843,0,KZ,1584512138,80,52.96,63.12,272.15,5
Payson,5779548,90,US,1584512138,52,40.04,-111.73,284.15,1.3
Ribeira Grande,3372707,48,PT,1584512138,91,38.52,-28.7,287.8,5.45
Selfoss,3413604,75,IS,1584512138,85,63.93,-21,273.15,6.7
Forsytheganj,10722858,52,BY,1584512138,83,52.63,29.73,276,3.43
Port Hedland,2063042,0,AU,1584512139,37,-20.32,118.57,312.15,6.2
Salalah,286621,75,OM,1584512139,65,17.02,54.09,299.15,4.1
Nāgamangala,1262266,35,IN,1584512139,35,12.82,76.76,303.15,3.1
Kisangani,212730,100,CD,1584512140,93,0.52,25.2,296.1,1.47
Isla Mujeres,3526756,20,MX,1584512140,74,21.23,-86.73,299.15,4.1
Farafangana,1065158,27,MG,1584512140,78,-22.82,47.83,298.7,7.78
Luanda,2240449,94,AO,1584511789,81,-8.84,13.23,299.6,3.58
Saldanha,3361934,17,ZA,1584512140,87,-33.01,17.94,287.15,1.5
Ilulissat,3423146,96,GL,1584512141,50,69.22,-51.1,259.15,13.9
Marang,1734715,20,MY,1584512141,62,5.21,103.21,305.15,3.6
Klyuchi,1503153,3,RU,1584512141,86,52.27,79.17,271.7,7.53
Petropavlovsk-Kamchatskiy,2122104,100,RU,1584512141,73,53.05,158.65,273.15,6
Beisfjord,3144987,91,NO,1584512141,87,68.38,17.6,276.15,11.3
Kankan,2419992,52,GN,1584512142,66,10.39,-9.31,297.1,2.69
Portland,5746545,1,US,1584512109,75,45.52,-122.68,282.15,5.7
Plouzané,2986626,20,FR,1584512142,100,48.38,-4.62,279.15,3.6
Panzhihua,6929460,0,CN,1584512142,37,26.59,101.71,294.26,0.76
Chokurdakh,2126123,71,RU,1584512143,92,70.63,147.92,245.2,4.77
Kamenka,553766,21,RU,1584512143,60,51.32,42.77,277.59,1.34
Orocué,3673536,5,CO,1584512143,41,4.79,-71.34,300.9,2.14
Pisco,3932145,95,PE,1584512143,78,-13.7,-76.22,296.15,2.6
Bereket,161974,66,TM,1584512143,61,39.24,55.52,285.9,4.52
Montague,4944413,1,US,1584512108,52,42.54,-72.54,278.15,5.1
La Reforma,4000490,40,MX,1584512144,73,25.08,-108.05,294.15,1.5
Bandrele,1090397,33,YT,1584512144,66,-12.91,45.19,303.15,1
Siocon,1686123,15,PH,1584512144,79,7.71,122.14,300.8,6.49
Hasaki,2112802,20,JP,1584512144,25,35.73,140.83,292.15,3.1
Carballo,3126369,0,ES,1584512145,100,43.21,-8.69,283.15,1.5
Severo-Kuril'sk,2121385,100,RU,1584512145,90,50.68,156.12,266.6,7.4
Camacha,2270385,75,PT,1584512145,67,33.08,-16.33,289.15,7.7
Hong Kong,1819729,40,HK,1584511867,83,22.29,114.16,296.15,2.1
Creel,4012593,75,MX,1584512146,76,27.75,-107.63,279.9,3.46
Turbat,1163054,9,PK,1584512146,11,26,63.04,303.1,1.23
San Patricio,3985168,0,MX,1584512146,81,19.22,-104.7,297,1.83
Jacksonville Beach,4160023,90,US,1584512100,94,30.29,-81.39,294.15,3.6
Carutapera,3402648,46,BR,1584512146,81,-1.2,-46.02,300.7,4.76
Rock Springs,5836898,1,US,1584511916,47,41.59,-109.2,276.15,5.1
Tutóia,3385899,100,BR,1584512147,96,-2.76,-42.27,296.7,1.84
Alexandria,361058,40,EG,1584511957,54,31.22,29.96,288.15,7.7
Laguna,5364271,75,US,1584512147,100,38.42,-121.42,282.15,2.6
Tuatapere,2180815,100,NZ,1584512147,78,-46.13,167.68,287.04,0.89
Dargaville,2191911,0,NZ,1584512148,64,-35.93,173.88,288.9,2.44
Fort Nelson,5955902,90,CA,1584512148,42,58.81,-122.7,270.15,1.5
Hambantota,1244926,75,LK,1584512148,70,6.12,81.12,304.15,6.2
Hamilton,4513583,1,US,1584511723,100,39.18,-84.53,278.71,1.39
Sapouy,2355869,0,BF,1584512148,54,11.55,-1.77,299.4,1.81
Aykhal,2027296,5,RU,1584512149,44,66,111.5,255.15,5
Shiloh,4249910,1,US,1584511856,86,38.56,-89.9,281.48,2.52
Tomatlán,3981391,0,MX,1584512149,90,19.93,-105.25,292.2,0.42
